img,label
/home/timosk/FCN/CamVid/701_StillsRaw_full/Seq05VD_f03270.png,/home/timosk/FCN/CamVid/Labeled_idx/Seq05VD_f03270_L.png.npy
/home/timosk/FCN/CamVid/701_StillsRaw_full/Seq05VD_f01890.png,/home/timosk/FCN/CamVid/Labeled_idx/Seq05VD_f01890_L.png.npy
/home/timosk/FCN/CamVid/701_StillsRaw_full/0016E5_08105.png,/home/timosk/FCN/CamVid/Labeled_idx/0016E5_08105_L.png.npy
/home/timosk/FCN/CamVid/701_StillsRaw_full/0006R0_f01530.png,/home/timosk/FCN/CamVid/Labeled_idx/0006R0_f01530_L.png.npy
/home/timosk/FCN/CamVid/701_StillsRaw_full/0001TP_007500.png,/home/timosk/FCN/CamVid/Labeled_idx/0001TP_007500_L.png.npy
/home/timosk/FCN/CamVid/701_StillsRaw_full/Seq05VD_f02700.png,/home/timosk/FCN/CamVid/Labeled_idx/Seq05VD_f02700_L.png.npy
/home/timosk/FCN/CamVid/701_StillsRaw_full/Seq05VD_f04560.png,/home/timosk/FCN/CamVid/Labeled_idx/Seq05VD_f04560_L.png.npy
/home/timosk/FCN/CamVid/701_StillsRaw_full/Seq05VD_f01260.png,/home/timosk/FCN/CamVid/Labeled_idx/Seq05VD_f01260_L.png.npy
/home/timosk/FCN/CamVid/701_StillsRaw_full/0016E5_06030.png,/home/timosk/FCN/CamVid/Labeled_idx/0016E5_06030_L.png.npy
/home/timosk/FCN/CamVid/701_StillsRaw_full/0016E5_04800.png,/home/timosk/FCN/CamVid/Labeled_idx/0016E5_04800_L.png.npy
/home/timosk/FCN/CamVid/701_StillsRaw_full/0016E5_07050.png,/home/timosk/FCN/CamVid/Labeled_idx/0016E5_07050_L.png.npy
/home/timosk/FCN/CamVid/701_StillsRaw_full/0001TP_007320.png,/home/timosk/FCN/CamVid/Labeled_idx/0001TP_007320_L.png.npy
/home/timosk/FCN/CamVid/701_StillsRaw_full/Seq05VD_f02640.png,/home/timosk/FCN/CamVid/Labeled_idx/Seq05VD_f02640_L.png.npy
/home/timosk/FCN/CamVid/701_StillsRaw_full/0016E5_07961.png,/home/timosk/FCN/CamVid/Labeled_idx/0016E5_07961_L.png.npy
/home/timosk/FCN/CamVid/701_StillsRaw_full/Seq05VD_f01500.png,/home/timosk/FCN/CamVid/Labeled_idx/Seq05VD_f01500_L.png.npy
